aux_loss,epoch,test_acc,test_loss,time,train_acc,train_loss
0.0,1,0.915,1.6064804462432862,20.42887043952942,0.78305,1.777295095507304
0.0,2,0.9489,1.5504022603988648,20.313920259475708,0.9374333333333333,1.5732539354960124
0.0,3,0.9573,1.538277010345459,20.111154079437256,0.9630333333333333,1.5366408877690634
0.0,4,0.9599,1.5325375701904296,20.053876399993896,0.9760833333333333,1.518667814064026
0.0,5,0.9638,1.5248292600631714,20.148476362228394,0.9842333333333333,1.5062886275609335
0.0,6,0.9626,1.5260521488189698,19.78287124633789,0.9891,1.4984021146774291
0.0,7,0.9659,1.5176509382247925,20.009000062942505,0.99215,1.4909097134272258
0.0,8,0.9657,1.5195121671676635,20.238032341003418,0.9943,1.4859417958577474
0.0,9,0.9625,1.517691654586792,20.26327657699585,0.9953,1.4824810742060344
0.0,10,0.9652,1.5166640874862671,20.143773078918457,0.9960166666666667,1.479619342104594
0.0,11,0.9663,1.513306706237793,19.989592790603638,0.99665,1.4771099215189616
0.0,12,0.9655,1.5125696521759033,20.07158875465393,0.9972,1.475184920946757
0.0,13,0.9656,1.5138637298583983,18.960779190063477,0.9973,1.4738146774927776
0.0,14,0.9652,1.5123546798706056,18.632709503173828,0.9976333333333334,1.4726721268335978
0.0,15,0.9608,1.5168399135589599,18.696638345718384,0.99785,1.4712636192321777
0.0,16,0.9606,1.5186576522827149,19.57037663459778,0.99795,1.4714507795333862
0.0,17,0.9645,1.5109434703826905,20.049145698547363,0.9981,1.470170797220866
0.0,18,0.9642,1.5096091985702516,20.140755891799927,0.9982,1.4687049087524413
0.0,19,0.9644,1.5114956645965576,20.168740034103394,0.99815,1.468323112042745
0.0,20,0.963,1.5135741106033325,20.203226804733276,0.9983166666666666,1.4685639360427856
