aux_loss,epoch,test_acc,test_loss,time,train_acc,train_loss
0.0,1,0.9521,0.16240374242663383,4.303235054016113,0.9096166666666666,0.3184697842359543
0.0,2,0.9625,0.11343619028031826,3.8759164810180664,0.9644333333333334,0.11933373973369599
0.0,3,0.9753,0.07694492439851165,3.9719598293304443,0.9763666666666667,0.07728513302604358
0.0,4,0.9742,0.08199915034258738,3.893632173538208,0.98255,0.054158242823680244
0.0,5,0.9784,0.07381048406586051,3.9575326442718506,0.9866,0.04245301717768113
0.0,6,0.9799,0.06556954648774117,3.9478049278259277,0.9897666666666667,0.031691783167173464
0.0,7,0.9781,0.0759681311823544,3.950032949447632,0.9918166666666667,0.024757121090590955
0.0,8,0.9772,0.09020304898921168,3.9331045150756836,0.9934166666666666,0.02017466502264142
0.0,9,0.9788,0.0786208914880408,3.9128189086914062,0.9938666666666667,0.01854969255750378
0.0,10,0.9767,0.09127539063643199,3.9039952754974365,0.9945333333333334,0.015823955801626047
0.0,11,0.9804,0.07521916953294858,3.921718120574951,0.9954,0.014415140218473971
0.0,12,0.9818,0.07952135845419835,3.9019076824188232,0.9971,0.008794502140240123
0.0,13,0.9814,0.08198648832398467,3.943605661392212,0.9964,0.010831913053027043
0.0,14,0.9779,0.10087038948187255,3.928440809249878,0.9964,0.010435201667544122
0.0,15,0.9758,0.11696699875267222,3.946589946746826,0.99535,0.012944875570821265
0.0,16,0.9816,0.0897709375859631,3.9713447093963623,0.9980333333333333,0.005810851756638537
0.0,17,0.98,0.10704651566378598,3.94403076171875,0.9971333333333333,0.008794555513820766
0.0,18,0.9718,0.1448847516644193,4.0118443965911865,0.9974333333333333,0.008244349521188996
0.0,19,0.9796,0.10511341426662298,3.8606536388397217,0.9971833333333333,0.00850491069983303
0.0,20,0.9814,0.10112768559470268,3.90376615524292,0.9978666666666667,0.006430143745961444
