aux_loss,epoch,test_acc,test_loss,time,train_acc,train_loss
0.0,1,0.979,1.5195689136505126,8.562599420547485,0.9321166666666667,1.6227572646458943
0.0,2,0.9845,1.49586809425354,8.06535816192627,0.9813166666666666,1.504692330233256
0.0,3,0.9876,1.4876162204742431,8.092132568359375,0.9889,1.4874525418599447
0.0,4,0.9881,1.4833407821655273,8.000688314437866,0.9927666666666667,1.4793195989608765
0.0,5,0.9887,1.4810560371398926,8.056490898132324,0.9947166666666667,1.4750481700261433
0.0,6,0.9885,1.4788434284210206,8.08472466468811,0.99595,1.4722122261683146
0.0,7,0.9888,1.4787415943145752,7.8517396450042725,0.9966666666666667,1.4699901446024577
0.0,8,0.9888,1.4762246246337891,7.804065704345703,0.9973166666666666,1.46863765335083
0.0,9,0.9902,1.4755018028259277,8.107474565505981,0.9974333333333333,1.4676433800379436
0.0,10,0.9905,1.4756796882629395,8.115735054016113,0.9977833333333334,1.466852956644694
0.0,11,0.9889,1.4754739950180054,7.846105337142944,0.99785,1.4663583368937174
0.0,12,0.9901,1.4754111450195313,8.019363164901733,0.99805,1.4660341765721638
0.0,13,0.9903,1.474510262298584,7.762924671173096,0.9979,1.4659638628005982
0.0,14,0.9906,1.4735117362976073,7.924707412719727,0.9982,1.4653593105951945
0.0,15,0.991,1.4733970581054687,8.048075437545776,0.9981666666666666,1.465360656483968
0.0,16,0.9907,1.4735154296875,8.03892207145691,0.9982666666666666,1.4651388608296712
0.0,17,0.9902,1.4737870252609253,7.963339805603027,0.9983166666666666,1.4649532242457073
0.0,18,0.9904,1.4745533798217774,7.867345333099365,0.9981,1.466650498008728
0.0,19,0.9906,1.4725613868713379,7.768303632736206,0.99845,1.4647157770792643
0.0,20,0.9903,1.4727537815093994,7.8778076171875,0.9984,1.4641748811721802
