aux_loss,epoch,test_acc,test_loss,time,train_acc,train_loss
0.0,1,0.9834,0.5303331047058105,10.406004428863525,0.94535,0.7092587913513183
0.0,2,0.9876,0.489617013835907,10.378151893615723,0.9865166666666667,0.5051338538964589
0.0,3,0.9894,0.4771062497138977,10.283352375030518,0.9929666666666667,0.4718569897969564
0.0,4,0.9905,0.46934708037376405,10.327090978622437,0.99615,0.4566385988076528
0.0,5,0.9908,0.4660015407562256,10.306777000427246,0.9975,0.4477068320115407
0.0,6,0.9895,0.4628423407077789,10.33290719985962,0.9982333333333333,0.44268465735117596
0.0,7,0.9906,0.457857776594162,10.221495389938354,0.9983833333333333,0.4398031005382538
0.0,8,0.9904,0.4569671461105347,10.227025747299194,0.9986,0.43768810081481935
0.0,9,0.9899,0.4630166398048401,10.274864196777344,0.9987,0.4365669220606486
0.0,10,0.9886,0.4612785746574402,10.233886241912842,0.9983333333333333,0.44120248578389487
0.0,11,0.9901,0.4538052617073059,10.387303113937378,0.9988666666666667,0.43592401644388834
0.0,12,0.9884,0.4577311855792999,10.321616888046265,0.9990666666666667,0.43344643975893654
0.0,13,0.9897,0.45654623479843137,10.326862335205078,0.9989833333333333,0.4362321060021718
0.0,14,0.9897,0.4573639249801636,10.758949995040894,0.9991833333333333,0.43539352434476214
0.0,15,0.9904,0.45302001686096194,10.338989019393921,0.9992,0.43370701886812846
0.0,16,0.9911,0.45142176804542544,10.275618553161621,0.99925,0.43172530948321025
0.0,17,0.9884,0.4591778977394104,10.40850281715393,0.9993,0.43182143886884056
0.0,18,0.989,0.46109831171035764,10.342658281326294,0.9988,0.4381940013885498
0.0,19,0.9898,0.4519441581249237,10.281832218170166,0.9992166666666666,0.4339345251083374
0.0,20,0.9915,0.44976513504981996,10.374042510986328,0.9994833333333333,0.43131849182446796
