aux_loss,epoch,test_acc,test_loss,time,train_acc,train_loss
0.0,1,0.9225,6.541001991795405,4.774057865142822,0.8930666666666667,2.516442628733317
0.0,2,0.9274,5.684075007735938,4.27078914642334,0.93755,4.47154436934789
0.0,3,0.9301,5.566876996311617,4.2539427280426025,0.9408,4.20221218030463
0.0,4,0.9307,5.491487712096421,4.221350908279419,0.9419,4.102413621266683
0.0,5,0.9318,5.438456943583487,4.321304559707642,0.9428166666666666,4.030742975187302
0.0,6,0.9327,5.397280899715423,4.197346210479736,0.94345,3.9743896733283997
0.0,7,0.9331,5.363396592509747,4.257763624191284,0.9440333333333333,3.927631411711375
0.0,8,0.9325,5.333272021996975,4.154613256454468,0.9441666666666667,3.8869157908719965
0.0,9,0.9324,5.306047352063656,4.22670841217041,0.9444166666666667,3.850917645661036
0.0,10,0.9334,5.281006146204471,4.181393384933472,0.9446833333333333,3.8183600497325263
0.0,11,0.9337,5.258706099629402,4.2877724170684814,0.9449833333333333,3.7884499822457633
0.0,12,0.934,5.237640661501884,4.217803716659546,0.9453833333333334,3.760702996635437
0.0,13,0.9336,5.21831125346422,4.2396605014801025,0.9457666666666666,3.7350980958647715
0.0,14,0.9333,5.198759296679485,4.240635395050049,0.9458,3.7114169373999037
0.0,15,0.9335,5.180983108889955,4.14733624458313,0.9459333333333333,3.689029602622986
0.0,16,0.9334,5.163147892331671,4.191235542297363,0.9459,3.667740204532941
0.0,17,0.9337,5.146979614768279,4.181063175201416,0.9461666666666667,3.6476127321466802
0.0,18,0.9343,5.131466438053519,4.0428454875946045,0.9461666666666667,3.6286296463251113
0.0,19,0.9346,5.116036852056969,4.178855895996094,0.9463666666666667,3.6106573858340583
0.0,20,0.9349,5.10211985740778,4.018193244934082,0.9465333333333333,3.593130477364858
