aux_loss,epoch,test_acc,test_loss,time,train_acc,train_loss
2.5287321077121305e-05,1,0.9248,1.7704399998589653,9.448294401168823,0.8787166666666667,1.1391831025759378
1.2032158509085397e-05,2,0.9194,1.8696936240790765,8.403580904006958,0.9351666666666667,1.3516955884297688
1.0712162614739403e-05,3,0.9154,1.9650042638778686,8.221614837646484,0.9302166666666667,1.5256791831334433
9.184483892264932e-06,4,0.9099,1.980326515007019,8.2822265625,0.9221,1.6964904845237732
9.795269119634516e-06,5,0.9109,1.960355802488327,8.274615287780762,0.9215666666666666,1.7349757034579913
9.655368111998542e-06,6,0.9103,1.964260405921936,8.160333156585693,0.9171,1.783118986829122
9.571041747070316e-06,7,0.9086,2.0153759548783294,8.299123525619507,0.9174,1.7664472201665242
8.512829585439856e-06,8,0.9116,1.8999301676511728,8.331033706665039,0.9199,1.7531795378684998
7.688269302070695e-06,9,0.9129,1.9712133210659026,8.17836618423462,0.9222333333333333,1.7165544534047446
9.96723694991791e-06,10,0.9101,2.033676059925541,8.234089374542236,0.9169166666666667,1.8138999242464702
6.247110838876324e-06,11,0.9103,1.992328619480133,8.186400413513184,0.91535,1.8615603359858195
7.160712399763724e-06,12,0.911,1.8754833409070968,8.466317892074585,0.9141833333333333,1.8750155351638793
8.633109101265291e-06,13,0.9126,1.884628633260727,8.283820867538452,0.9154333333333333,1.8144214054425558
8.984706534344392e-06,14,0.9128,1.9224323507785797,8.262760639190674,0.9129666666666667,1.8419719968001047
8.424698497011226e-06,15,0.9109,1.940060907816887,8.24898648262024,0.9152833333333333,1.7850048431714376
6.2215872824860225e-06,16,0.9102,2.0332193668872116,8.273670673370361,0.9159333333333334,1.7917319038709005
7.742873312842372e-06,17,0.907,2.049234758687019,8.236217021942139,0.915,1.8592500491778057
8.27038615185908e-06,18,0.9102,2.026990370460198,8.313649654388428,0.9142333333333333,1.830618706067403
7.3175993151987014e-06,19,0.9094,2.0056117668628692,8.35627794265747,0.9168666666666667,1.7629600366592406
7.22077873319904e-06,20,0.906,2.0590202659368515,8.230542182922363,0.91155,1.8488570306460064
