aux_loss,epoch,test_acc,test_loss,time,train_acc,train_loss
0.0,1,0.955,0.14493534782528877,16.317198753356934,0.90975,0.32215649726788204
0.0,2,0.9644,0.11191864989176392,15.512748718261719,0.9645666666666667,0.11717411839167277
0.0,3,0.9761,0.07799703538306058,15.33516263961792,0.9757666666666667,0.07902752705216408
0.0,4,0.9741,0.08144971010833979,15.466208457946777,0.9827,0.05581806376179059
0.0,5,0.9799,0.06770577376764268,15.186309814453125,0.9868166666666667,0.04206812583605449
0.0,6,0.9795,0.0714599542137701,15.4231276512146,0.9895166666666667,0.03247478907306989
0.0,7,0.979,0.07846783382082358,15.537118434906006,0.9917333333333334,0.025523055712382
0.0,8,0.9804,0.07276367097236217,15.42748212814331,0.9925666666666667,0.022062173807496827
0.0,9,0.9786,0.08023397739333013,15.366950511932373,0.9943833333333333,0.017838210209210715
0.0,10,0.9758,0.09340759536798578,15.543123483657837,0.99515,0.015171514026323954
0.0,11,0.9782,0.08690265844420501,15.777494430541992,0.99635,0.01131576264500618
0.0,12,0.9793,0.09017227441903997,15.7180655002594,0.99625,0.011733837696909905
0.0,13,0.9795,0.09032177853341036,15.743459939956665,0.9952,0.014991050522526105
0.0,14,0.9823,0.0825444090220954,15.521393775939941,0.9976666666666667,0.007492116932198405
0.0,15,0.9817,0.08606893824344443,15.29939341545105,0.9971,0.009197743207216263
0.0,16,0.9778,0.11110976417121537,15.693593978881836,0.9965666666666667,0.009557867956658205
0.0,17,0.9818,0.08777743227892205,15.47023344039917,0.9963833333333333,0.010326531787216663
0.0,18,0.9823,0.09484094184297828,15.5734224319458,0.9985166666666667,0.00458368134709696
0.0,19,0.9806,0.10999145593189605,15.4213228225708,0.99745,0.0074168715618550774
0.0,20,0.9835,0.08301911287962867,15.426750421524048,0.9968166666666667,0.00866760023632863
