aux_loss,epoch,test_acc,test_loss,time,train_acc,train_loss
0.0,1,0.9043,1.6157712226867675,20.01284885406494,0.7689166666666667,1.7828496147791544
0.0,2,0.9431,1.5562617238998413,20.371581315994263,0.9293666666666667,1.5782569562911988
0.0,3,0.948,1.5413195049285888,20.101190090179443,0.9574333333333334,1.541687934112549
0.0,4,0.9519,1.5325541418075561,21.02747392654419,0.9713666666666667,1.5224578336715697
0.0,5,0.9529,1.5314494487762451,20.983202934265137,0.9808166666666667,1.509826991589864
0.0,6,0.9565,1.5251212776184082,20.524843454360962,0.9865166666666667,1.5004672176996867
0.0,7,0.9574,1.521682799911499,20.851840496063232,0.99085,1.4935074007034301
0.0,8,0.956,1.5213725131988525,19.464513778686523,0.9930166666666667,1.48837053788503
0.0,9,0.955,1.5201678998947143,20.351694107055664,0.9949833333333333,1.484603404935201
0.0,10,0.9533,1.5179644704818727,19.884563207626343,0.9961333333333333,1.4814200220108031
0.0,11,0.9502,1.5197763740539552,18.858235359191895,0.9963166666666666,1.4794071130752564
0.0,12,0.9497,1.5171291624069214,18.970686674118042,0.99705,1.477972447458903
0.0,13,0.9505,1.517609013748169,19.680724143981934,0.99725,1.4767237482706705
0.0,14,0.9481,1.517190223121643,19.890395879745483,0.9971333333333333,1.4761706829706829
0.0,15,0.9457,1.5174867448806764,19.709003925323486,0.99705,1.47575257396698
0.0,16,0.9443,1.5176508560180664,20.6187105178833,0.9970666666666667,1.4749293292363486
0.0,17,0.9379,1.5248222793579103,20.66172766685486,0.9969166666666667,1.4741608658472698
0.0,18,0.9421,1.5170963647842408,20.805646896362305,0.9969833333333333,1.4750429138819376
0.0,19,0.9414,1.5167934785842896,20.80239701271057,0.9980333333333333,1.4712858006795246
0.0,20,0.9336,1.5245015184402466,20.321022272109985,0.9978333333333333,1.4711821808497112
