aux_loss,epoch,test_acc,test_loss,time,train_acc,train_loss
0.0,1,0.9811,0.5372846072196961,10.742898941040039,0.9274,0.7608331197420756
0.0,2,0.9852,0.4924375083446503,10.561766147613525,0.9835166666666667,0.5102692628701528
0.0,3,0.989,0.47609134311676027,10.688512325286865,0.9898,0.47952827275594073
0.0,4,0.9908,0.46870363454818725,10.660759687423706,0.9938333333333333,0.4629055549621582
0.0,5,0.9892,0.4686619297027588,10.852486848831177,0.9956833333333334,0.4541278846740723
0.0,6,0.9908,0.46197705907821657,10.643125057220459,0.99695,0.4479612493991852
0.0,7,0.9918,0.45884748954772947,10.638124704360962,0.99765,0.4426834812641144
0.0,8,0.991,0.4577297256469727,10.915189027786255,0.9983,0.43924358717600503
0.0,9,0.9898,0.4629496397972107,10.698582172393799,0.9981,0.4394923468430837
0.0,10,0.9907,0.4591621168613434,10.086136102676392,0.99805,0.4396136619408925
0.0,11,0.9916,0.4548577343940735,10.14510464668274,0.9985333333333334,0.4362956750869751
0.0,12,0.9906,0.4551398394584656,10.64600133895874,0.9986333333333334,0.43549190119107567
0.0,13,0.9889,0.4614936960220337,10.605761528015137,0.99845,0.4359983692169189
0.0,14,0.9895,0.46062016544342044,10.68345308303833,0.9984166666666666,0.43760188376108805
0.0,15,0.9904,0.4562644527435303,10.772694826126099,0.9990166666666667,0.434412998008728
0.0,16,0.9899,0.4564398105621338,10.56519865989685,0.99915,0.432288596979777
0.0,17,0.9896,0.4593070882797241,10.677802801132202,0.9992333333333333,0.43262735142707825
0.0,18,0.989,0.4602690470695496,10.74147891998291,0.9986833333333334,0.4363874391714732
0.0,19,0.9899,0.4545718519210815,10.829715251922607,0.9992,0.4338486127694448
0.0,20,0.9899,0.4532774001598358,10.723201751708984,0.9992833333333333,0.43192917091051736
